READ_DATE,KWH_EXP,tavg,tmin,tmax,wdir,wspd,pres,Tavg,RH_avg,RR,ss,KWH_EXP_MA,KWH_EXP_ES,trend_ma,cycle_ma
2021-11-12,111.92281437251104,27.1,24.3,31.7,140.0,7.4,1008.0,26.3,92.0,42.5,5.3,72.76776795382617,107.5628485282339,59.08108706796541,13.686680885860753
2021-11-13,113.28502083484808,27.4,23.7,31.4,126.0,6.3,1008.2,27.3,83.0,1.0,3.5,74.65529395649237,105.389368269436,59.08404147635015,15.57125248014222
2021-11-14,111.0291182290053,26.2,24.6,29.0,117.0,6.9,1008.6,26.3,90.0,1.3,1.4,76.51458478435055,112.25649320508191,59.08699132929177,17.427593455058776
2021-11-15,117.91231228236823,26.9,24.4,32.0,127.0,6.1,1008.3,26.9,90.0,7.0,0.5,78.3184167583899,114.52134769357568,59.08993662032857,19.22848013806133
2021-11-16,112.98031338237416,27.4,24.2,31.6,130.0,6.7,1008.3,27.0,86.0,0.0,2.4,80.03546783389407,118.09789714845499,59.092877343155955,20.94259049073812
2021-11-17,135.18150848780328,28.4,24.3,32.4,121.0,7.6,1008.3,27.6,82.0,0.0,5.0,82.41484785169828,119.30112598890454,59.09581349164268,23.319034360055603
2021-11-18,108.73330232363936,28.4,24.8,33.2,117.0,7.4,1007.0,27.8,83.0,0.0,8.9,83.8876395748067,124.08628591408795,59.09874505984634,24.78889451496036
2021-11-19,134.79236314083016,26.2,24.2,31.2,124.0,6.7,1006.1,26.4,88.0,0.5,9.9,86.19258378694971,119.2770365701214,59.101672042034686,27.090911744915026
2021-11-20,134.79236314083016,25.2,24.0,30.6,123.0,6.4,1006.6,25.2,95.0,89.4,4.0,88.92747956055545,127.78337736674783,59.10459443269895,29.8228851278565
2021-11-21,121.07085029767228,26.6,23.8,29.6,98.0,7.7,1007.9,26.4,90.0,29.0,0.8,90.9346837489691,128.99781065180397,59.10751222657457,31.827171522394536
2021-11-22,137.0113214784583,27.9,24.0,31.2,83.0,8.0,1007.6,28.3,82.0,1.3,0.9,93.47323697674231,128.840216992075,59.110425418665855,34.36281155807646
2021-11-23,132.5474987198994,27.7,24.1,31.8,102.0,7.3,1007.2,27.9,83.0,0.0,9.3,95.96940901403704,131.6871569143084,59.11333400426403,36.85607500977301
2021-11-24,129.07752021098997,27.9,24.2,32.8,116.0,6.5,1007.6,27.5,84.0,0.0,10.2,98.2891649801421,131.21131732417624,59.11623797897009,39.17292700117201
