Tanggal,Tavg,RH_avg,RR,ss
2020-03-31,28.3,81.0,4.0,10.7
2020-04-01,28.0,83.0,2.0,10.5
2020-04-02,28.3,80.0,0.0,9.8
2020-04-03,28.5,83.0,0.6,10.6
2020-04-04,27.5,88.0,0.7,10.8
2020-04-05,27.2,87.0,2.1,9.2
2020-04-06,27.3,84.0,1.05,2.6
2020-04-07,27.0,84.0,0.0,8.2
2020-04-08,26.9,86.0,0.75,7.6
2020-04-09,27.2,82.0,1.5,5.3
2020-04-10,26.9,84.0,0.0,9.5
2020-04-11,26.1,85.0,2.7,8.3
2020-04-12,26.4,80.0,3.4,5.0
2020-04-13,27.2,80.0,0.0,5.0
2020-04-14,27.2,86.0,0.7,10.1
2020-04-15,27.4,84.0,1.3,8.3
2020-04-16,28.5,78.0,0.0,8.6
2020-04-17,27.8,84.0,0.0,5.5
2020-04-18,27.7,83.0,0.0,8.7
2020-04-19,27.2,84.0,0.0,9.8
2020-04-20,27.7,83.0,12.4,8.2
2020-04-21,28.4,74.0,0.0,10.4
2020-04-22,28.8,76.0,0.0,10.7
2020-04-23,28.3,72.0,0.0,10.6
2020-04-24,28.4,72.0,0.0,10.8
2020-04-25,28.6,73.0,0.0,10.4
2020-04-26,28.5,74.0,0.0,7.0
2020-04-27,27.9,74.0,0.0,7.8
2020-04-28,28.0,74.0,0.0,9.8
2020-04-29,27.5,74.0,0.0,9.3
2020-04-30,28.0,64.0,0.0,8.9
2020-05-01,27.6,75.0,0.0,10.0
2020-05-02,28.4,72.0,0.2,7.0
2020-05-03,28.2,73.0,0.0,9.5
2020-05-04,28.4,75.0,0.0,10.8
2020-05-05,29.1,72.0,0.0,9.1
2020-05-06,28.9,70.0,0.0,8.7
2020-05-07,29.3,74.0,0.0,10.5
2020-05-08,29.3,73.0,0.0,8.4
2020-05-09,28.2,67.0,0.0,9.2
2020-05-10,27.5,72.0,0.0,10.7
2020-05-11,27.6,72.0,0.0,10.6
2020-05-12,28.3,68.0,0.0,9.7
2020-05-13,28.6,68.0,0.0,10.7
2020-05-14,28.0,71.0,0.0,10.4
2020-05-15,28.1,71.0,0.0,10.6
2020-05-16,28.7,72.0,0.0,9.4
2020-05-17,28.8,74.0,0.0,8.9
2020-05-18,29.2,74.0,0.0,9.1
2020-05-19,27.3,87.0,0.4,8.9
2020-05-20,26.7,86.0,0.8,0.4
2020-05-21,27.4,81.0,1.2,0.2
2020-05-22,27.0,85.0,3.0,7.5
2020-05-23,26.6,89.0,1.2,4.6
2020-05-24,27.5,86.0,15.0,5.4
2020-05-25,27.5,87.0,0.5,8.5
