,Tanggal,Tavg,RH_avg,RR,ss
636,2020-09-28,29.9,62.0,0.0,10.5
637,2020-09-29,29.7,64.0,0.0,10.9
638,2020-09-30,29.2,69.0,0.0,9.3
639,2020-10-01,29.9,62.0,0.0,9.3
640,2020-10-02,29.5,66.0,0.0,9.4
641,2020-10-03,27.7,78.0,0.0,10.9
642,2020-10-04,29.3,69.0,0.0,10.8
643,2020-10-05,29.6,62.0,0.0,10.1
644,2020-10-06,28.9,66.0,0.0,9.1
645,2020-10-07,28.2,68.0,0.0,7.6
646,2020-10-08,29.2,67.0,0.0,8.5
647,2020-10-09,29.7,68.0,0.0,6.5
648,2020-10-10,29.2,75.0,,7.4
649,2020-10-11,26.7,84.0,1.0,3.5
651,2020-10-13,29.3,68.0,0.0,11.4
652,2020-10-14,28.7,73.0,0.0,11.1
653,2020-10-15,29.8,71.0,0.0,10.7
654,2020-10-16,29.0,71.0,0.0,10.6
655,2020-10-17,28.1,74.0,0.0,10.9
656,2020-10-18,29.0,71.0,0.0,10.7
657,2020-10-19,29.8,68.0,0.0,10.2
658,2020-10-20,28.5,72.0,3.2,10.1
659,2020-10-21,27.7,80.0,0.0,11.6
660,2020-10-22,28.1,76.0,,7.2
